###################################################################
#	Summary of the parameters used to generate this mock sample:
#
#   data filename       = mock_DH/wfirst_LCDM.txt
#   sigma_mB_int_fac0   = 0.1
#   sigma_mB_int_fac1   = 0.033
#   sigma_mB_meas_fac   = 0.08
#   sigma_mB_lens_fac   = 0.07
#   sigma_mB_sys_fac    = 0.02
#	max redshift of sne = 1.69861
###################################################################
#   z   mu   dmu    mu^th    flux    dflux     flux^th
      1.117553824       44.34866941      0.1783515091       44.39854456   1.821932309e-08    2.85847663e-09   1.740131936e-08
      1.509554686       45.46703979      0.2019604934        45.2057833   6.504053201e-09   1.538965142e-09   8.273450636e-09
     0.9751770712       43.84746736      0.1703325421       44.03257776   2.890766783e-08   3.824214136e-09    2.43763622e-08
       1.55078436       45.29168964      0.2045521621       45.27796572   7.644061018e-09   1.458456448e-09   7.741296658e-09
     0.4713734681        41.9707369      0.1452895556        42.1078047   1.628190585e-07   1.920384516e-08   1.435086636e-07
      0.749699557       43.33885573      0.1584048222        43.3292113   4.618040175e-08   6.797661854e-09   4.659244258e-08
      0.372003115       41.55093051      0.1411255128        41.4989314   2.396777922e-07   3.268200215e-08   2.514359897e-07
     0.3506469573       41.25338813      0.1402706415       41.34861164   3.152424887e-07   3.730764266e-08   2.887721758e-07
      1.008471962       44.07406023      0.1721767745       44.12268546    2.34625877e-08   3.557755213e-09   2.243498668e-08
     0.3773314428       41.58832094      0.1413410703       41.53519573   2.315643089e-07   3.165670908e-08   2.431765593e-07
     0.4229364493       41.90271199      0.1432223212       41.82759433   1.733465502e-07   2.450465862e-08   1.857643056e-07
     0.9881859449       44.11398912      0.1710507664       44.06814012   2.261540399e-08   3.716590008e-09   2.359086963e-08
     0.2425457546       40.62369183      0.1361753756       40.42748982   5.630192795e-07   8.460155251e-08   6.745343504e-07
      1.256924876        44.2227353      0.1865109639       44.71431458   2.046001178e-08   2.234880033e-09   1.300990631e-08
       1.64645395       45.17000198      0.2106330872       45.43816488   8.550651508e-09   1.295795066e-09   6.679347655e-09
      1.403911236       44.98200486      0.1954056418       45.01124412   1.016712253e-08   1.781210028e-09   9.896972259e-09
       1.10663292       44.48559062      0.1777245452       44.37216003   1.606067345e-08   2.918495858e-09   1.782936968e-08
      1.388165696        44.9815764      0.1944398005       44.98098027   1.017113549e-08   1.822505043e-09   1.017672155e-08
     0.3562697052       41.49098235       0.140494296       41.38898883   2.532835933e-07   3.600301254e-08   2.782303289e-07
      1.442025481       45.07778759      0.1977557899       45.08309761   9.308612741e-09   1.687197184e-09   9.263198149e-09
      1.432483731       45.03637427      0.1971658423       45.06529213   9.670530348e-09   1.709977938e-09   9.416362057e-09
      1.421673222       45.20236367      0.1964987317       45.04497277   8.299549775e-09   1.736386193e-09    9.59424694e-09
      1.374045839       44.81230647      0.1935762391       44.95354343    1.18871409e-08   1.860845671e-09    1.04371669e-08
     0.3191119429       41.08006865      0.1390353733        41.1104788   3.698047958e-07   4.604786166e-08   3.595907241e-07
     0.5087489622       42.06972195      0.1469315374       42.30630134   1.486316224e-07   1.617596389e-08   1.195307008e-07
     0.9048423424       44.05112322      0.1665032881        43.8318452   2.396352546e-08   4.497388604e-09   2.932661385e-08
     0.3669773098       41.39115709      0.1409230202       41.46428491   2.776752442e-07   3.369330862e-08    2.59588852e-07
      1.624053874       45.16050503      0.2092011705       45.40152731   8.625772255e-09   1.331155731e-09   6.908584536e-09
     0.6482229676       42.99482984      0.1533955511       42.94301716    6.33969059e-08   9.394671099e-09   6.649563481e-08
     0.3362785046       41.50963438      0.1397037688       41.24266078   2.489695581e-07   4.096561615e-08   3.183726035e-07
      1.419121991       45.32817727      0.1963414967       45.04015459   7.391440626e-09   1.742713279e-09   9.636917991e-09
     0.2608622445       40.70254139      0.1368411681       40.60725039   5.235804768e-07    7.20430842e-08   5.716100346e-07
     0.3255350692       41.16804829      0.1392843249       41.16068502   3.410206552e-07   4.404574057e-08   3.433412571e-07
      1.415499291       44.90970194      0.1961183579       45.03329773   1.086723913e-08   1.751760938e-09    9.69797164e-09
     0.3123241885       40.88089925      0.1387737787       41.05640311   4.442631588e-07   4.830831047e-08   3.779538335e-07
     0.3242000122       40.92437624      0.1392324674       41.15032498   4.268246614e-07   4.445147802e-08   3.466330802e-07
     0.6668360666       42.96384625      0.1542959946       43.01798433    6.52321209e-08   8.819350489e-09   6.205921387e-08
     0.3318200901       41.04042484      0.1395292432       41.20893813   3.835571345e-07   4.220517124e-08   3.284163333e-07
     0.2028096026       39.86264805      0.1347720022       39.99008927   1.134856057e-06   1.252678585e-07    1.00916991e-06
     0.1626076196       39.53405494      0.1334107868       39.45815958   1.535953346e-06    2.02396404e-07   1.647161439e-06
     0.3068311475        41.0968898      0.1385632078       41.01184563   3.641196178e-07   5.025570368e-08   3.937873398e-07
       1.68237685       45.31577134      0.2129394132       45.49586559   7.476381667e-09   1.242182761e-09   6.333645688e-09
      1.225612378       44.66856904       0.184653181       44.64654113   1.356976684e-08   2.355136176e-09   1.384788824e-08
     0.6910707919       43.16172172      0.1554809918       43.11266538    5.43639884e-08   8.144920147e-09   5.687662902e-08
     0.2274222258       40.27241397      0.1356345778       40.26938996   7.780982022e-07   9.747429839e-08   7.802683985e-07
     0.2743263458       40.71738464      0.1373380434       40.73213289   5.164712433e-07   6.444858374e-08   5.095031135e-07
      1.547993256       45.22965991       0.204376148       45.27314144    8.09349379e-09   1.463690694e-09   7.775770289e-09
      1.525301644       45.36033366      0.2029481997       45.23358709   7.175737403e-09   1.507391455e-09   8.064271966e-09
      1.014526159       44.30530887      0.1725142236       44.13875438   1.896166417e-08   3.512358478e-09   2.210539331e-08
     0.6566049318       42.99275447      0.1537999926       42.97702651   6.351820449e-08   9.128961802e-09   6.444502481e-08
      1.628937256       45.46310575      0.2095129253       45.40955856   6.527662609e-09   1.323314519e-09   6.857669907e-09
     0.2437302003       40.18557046      0.1362180726       40.43948559   8.428917765e-07   8.369821079e-08   6.671227687e-07
     0.6825915939       42.66109783      0.1550647842       43.07990338   8.621064015e-08   8.371966956e-09   5.861903255e-08
     0.4989742732       42.25672222      0.1464982643       42.25573493   1.251154984e-07   1.689717825e-08   1.252293212e-07
      1.126292305       44.58723577      0.1788545339       44.41947204   1.462533061e-08   2.811815486e-09   1.706912208e-08
     0.3449755237       41.27904963      0.1400460865       41.30727691   3.078790569e-07   3.869331099e-08   2.999778836e-07
       1.57240016       44.86388914      0.2059180451       45.31502959   1.133559565e-08   1.418921115e-09   7.481491125e-09
      1.163807021       44.17040979      0.1810274574        44.5075112   2.147019961e-08   2.624313131e-09   1.573966635e-08
     0.4108913491       41.60726665      0.1427192027        41.7533072   2.275586462e-07    2.61478033e-08   1.989193898e-07
     0.3310467708       41.03269001      0.1394990379       41.20304653   3.862993662e-07   4.242562794e-08   3.302032829e-07
     0.8397415124       43.69288816      0.1630441348       43.63196515   3.333072319e-08   5.294132436e-09   3.525444976e-08
     0.5226307255       42.19589711      0.1475514765       42.37657846   1.323247725e-07   1.522607114e-08   1.120388429e-07
     0.4945104436       42.31263317      0.1463013014       42.23233491   1.188356458e-07   1.724208997e-08   1.279575858e-07
      1.281923262       44.71974421      0.1880038335       44.76721278   1.294500776e-08   2.145642062e-09   1.239124344e-08
     0.5243380615       42.59286593      0.1476280949       42.38510124   9.180231417e-08   1.511486244e-08   1.111628068e-07
      0.348637061       41.40061786      0.1401909423       41.33403386   2.752661799e-07   3.779045243e-08    2.92675559e-07
      1.401505532       44.44166844      0.1952578813       45.00664258   1.672370991e-08   1.787422503e-09   9.939006361e-09
     0.5921200814       42.86319112      0.1507339279       42.70404652      7.156877e-08   1.150450902e-08   8.286695726e-08
     0.8337387791       43.67056219      0.1627294911       43.61278216   3.402319734e-08   5.378102612e-09    3.58828672e-08
     0.5444642237       42.19657944      0.1485373383       42.48365821   1.322416391e-07   1.388826627e-08   1.015165189e-07
      1.198877808       44.55402486      0.1830779959       44.58728513    1.50796081e-08   2.466026726e-09   1.462466577e-08
      1.176787781       44.42443826      0.1817842991       44.53731508   1.699122517e-08   2.563929137e-09   1.531348254e-08
      1.178640464       44.61715816      0.1818925245         44.541542   1.422776675e-08   2.555487325e-09   1.525398098e-08
      1.372899747       45.01987905      0.1935062521       44.95130388   9.818573154e-09   1.864013819e-09   1.045871783e-08
      1.366962907       45.25664676      0.1931439737       44.93967246   7.894802952e-09   1.880562868e-09   1.057136369e-08
     0.4019990507        41.5436457      0.1423506317       41.69716268   2.412913323e-07   2.746439308e-08    2.09476316e-07
      0.202513892       40.10382459      0.1347617721       39.98654721     9.0880386e-07   1.256676541e-07   1.012467554e-06
     0.7876006609       43.68433669      0.1603363273          43.46071   3.359427885e-08   6.095700352e-09   4.127774831e-08
     0.4927668175       42.29915056      0.1462245194        42.2231411   1.203205405e-07   1.737958656e-08    1.29045706e-07
      1.583084155       45.19136065      0.2065949274       45.33315702   8.384086295e-09   1.400014473e-09   7.357617246e-09
     0.1966342703       40.10560003      0.1345590317       39.91511008   9.073189596e-07   1.340122512e-07   1.081324317e-06
      1.098830117       44.19443709      0.1772777505       44.35314943   2.100028382e-08   2.962580371e-09   1.814430045e-08
      1.216963567       44.78210826      0.1841424765       44.62751457   1.222240572e-08   2.390142695e-09   1.409269881e-08
     0.3605722097        41.3030997      0.1406661232       41.41949121   3.011342268e-07   3.504844192e-08   2.705225781e-07
     0.4435198036       41.96941918       0.144092258         41.950126   1.630167859e-07   2.202246486e-08   1.659394318e-07
     0.2341682961       40.16838516      0.1358748033       40.34107265   8.563394191e-07   9.140828208e-08    7.30417111e-07
      1.568887312       45.47587198      0.2056957437       45.30904183   6.451358962e-09     1.4252277e-09   7.522865014e-09
     0.5371296912       42.44699414       0.148204696       42.44814221   1.050031537e-07   1.431794739e-08   1.048921814e-07
      1.265009115       44.61944148      0.1869928127       44.73153642   1.419787696e-08   2.205393171e-09   1.280517244e-08
      1.315754886       44.84812509      0.1900375456       44.83716963   1.150138027e-08   2.033514338e-09   1.161802071e-08
     0.6751841001       42.87435491      0.1547025904       43.05096335   7.083665353e-08   8.578037206e-09   6.020251851e-08
      1.421645372       44.96763508      0.1964970148       45.04492022   1.030257937e-08   1.736455064e-09    9.59471131e-09
      0.762047501       43.62999137      0.1590306072       43.37274206   3.531859758e-08    6.55631139e-09   4.476134984e-08
      1.695432762       45.57794212      0.2137806073        45.5165235   5.872501705e-09   1.223586245e-09   6.214276879e-09
      1.273669736       44.73779229      0.1875100058       44.74986358   1.273160284e-08   2.174476383e-09   1.259083602e-08
      0.359876054       41.40145284      0.1406382809       41.41457864   2.750545686e-07   3.520041421e-08   2.717493694e-07
     0.7076474503       43.56779948      0.1562995893       43.17562137   3.740074106e-08   7.726538449e-09   5.367245408e-08
     0.4770746758       42.11862831      0.1455374266       42.13900953   1.420851447e-07   1.869160353e-08   1.394428303e-07
     0.3294842597       41.10707989      0.1394380673       41.19110371   3.607181906e-07   4.287612715e-08    3.33855485e-07
     0.1118624046       38.61918519      0.1317795712       38.57573247   3.567187387e-06    4.50641084e-07   3.712846656e-06
     0.3136509438        41.2799099      0.1388247901       41.06705726   3.076352095e-07   4.785417165e-08   3.742631751e-07
      1.250442729       44.65049971      0.1861252547       44.70042493   1.379749084e-08   2.258972863e-09   1.317740909e-08
      1.123245709        44.4601453      0.1786790229       44.41219429   1.644151675e-08   2.827948742e-09   1.718392168e-08
      0.300987759       40.93895121      0.1383403181       40.96363454   4.211332339e-07   5.245303646e-08   4.116671228e-07
      1.144505872       44.70223038      0.1799068041       44.46257535   1.315551487e-08   2.718273355e-09   1.640475918e-08
     0.3450696064       40.98636666      0.1400498031       41.30796769   4.031376268e-07   3.866972717e-08   2.997870893e-07
      1.147967528       44.58076565      0.1801073757       44.47069004   1.471274612e-08   2.701040909e-09   1.628260861e-08
     0.3681054946       41.29720689      0.1409684054       41.47210016   3.027730691e-07   3.346242443e-08   2.577270106e-07
     0.4398603775       41.94547935      0.1439366649       41.92873169   1.666511296e-07   2.243646545e-08    1.69241679e-07
      0.335956514       41.30931068      0.1396911426       41.24023911   2.994164987e-07   4.105337876e-08   3.190835068e-07
      0.171549325       39.56984627       0.133708357       39.58625758   1.486146051e-06   1.802732132e-07   1.463851316e-06
     0.3095109827        40.9908491      0.1386658107       41.03367419   4.014767127e-07   4.929188169e-08   3.859493575e-07
     0.3221305506       41.19886099      0.1391522002       41.13418823   3.314786823e-07   4.509106217e-08   3.518233895e-07
      1.509691146       44.94585484      0.2019690411       45.20602551   1.051133949e-08   1.538686981e-09   8.271605158e-09
     0.5552820998       42.62709616      0.1490306322       42.53523199    8.89531914e-08   1.328796352e-08   9.680709845e-08
     0.3930586604        41.7169961      0.1419825347       41.63954685   2.056844969e-07   2.888629656e-08   2.208926476e-07
     0.3775913026       41.55599478       0.141351606       41.53695223   2.385624508e-07   3.160789219e-08   2.427834666e-07
     0.1172379892       38.89819001      0.1319476765       38.68532135   2.758824015e-06   4.078954732e-07   3.356382581e-06
      1.035861307       44.04931204      0.1737084587       44.19463586   2.400353393e-08   3.359249819e-09   2.099643953e-08
     0.2640615791       40.85637098      0.1369586659       40.63745248   4.544139026e-07   7.012682983e-08   5.559285905e-07
     0.6376645653       42.82767032      0.1528885682       42.89957834   7.394892591e-08   9.745841792e-09   6.920997039e-08
      1.262852088       44.69972513      0.1868641588       44.72695217   1.318590517e-08   2.213200813e-09   1.285935338e-08
     0.5236012275       42.69673067      0.1475950188       42.38142626   8.342721245e-08   1.516271174e-08   1.115397066e-07
     0.2952571618       40.96509173      0.1381228491       40.91551163   4.111149862e-07    5.47440038e-08   4.303237829e-07
      1.238468966       44.51106445      0.1854143087       44.67457654   1.568823986e-08   2.304561546e-09   1.349489111e-08
