###################################################################
#	Summary of the parameters used to generate this mock sample:
#
#   data filename       = mock_DH/wfirst_LCDM_int_0.09_0.0_meas_0.08_lens_0.07_sys_0.02.txt
#   sigma_mB_int_fac0   = 0.09
#   sigma_mB_int_fac1   = 0
#   sigma_mB_meas_fac   = 0.08
#   sigma_mB_lens_fac   = 0.07
#   sigma_mB_sys_fac    = 0.02
#	max redshift of sne = 1.69797
###################################################################
#   z   mu   dmu    mu^th    flux    dflux     flux^th
      1.511128615       44.80689367      0.1626889278       45.20857561   1.194655077e-08   1.236526515e-09   8.252200221e-09
     0.3547363017       41.38387595      0.1238676187       41.37803586   2.795436426e-07   3.206410512e-08   2.810513366e-07
      1.425043088        44.9448119      0.1586716519       45.05132355   1.052144134e-08   1.393944891e-09   9.538291291e-09
      1.027021821       44.10973088      0.1420410263       44.17162266   2.270427544e-08   2.805694745e-09   2.144622892e-08
      1.279194169       44.76389996      0.1521820589       44.76148862   1.242910957e-08   1.745997782e-09   1.245674437e-08
     0.2679190345       40.76939378       0.122679242       40.67342328   4.923143419e-07   6.076835091e-08   5.378122459e-07
      1.618260176        45.3305568      0.1678638884       45.39196678   7.375259075e-09   1.077571878e-09   6.969687236e-09
     0.2269928673       40.28762163      0.1222225096       40.26476165   7.672755275e-07   8.821089269e-08   7.836016473e-07
     0.5903769451       42.54085834      0.1285306551         42.696284   9.630673641e-08   9.880269698e-09   8.346154085e-08
     0.2907173844       40.78715718      0.1229626136       40.87677569   4.843252665e-07   5.050547826e-08   4.459536496e-07
     0.2572012465        40.8161882      0.1225531615       40.57226958   4.715467099e-07   6.663346012e-08   5.903263465e-07
      1.407337297        45.0682638      0.1578619565       45.01778356   9.390624572e-09   1.430341494e-09   9.837541484e-09
      1.631164284       45.51733028      0.1684995828       45.41321295   6.209660957e-09   1.060692086e-09   6.834627012e-09
     0.3657818659       41.59170944      0.1240398871       41.45597955   2.308427411e-07   2.988444681e-08   2.615821943e-07
      1.091354219       44.58658452       0.144485762       44.33480887    1.46341059e-08     2.4557106e-09   1.845340239e-08
     0.7827015623       43.54753769      0.1337691865       43.44405983   3.810525968e-08   5.164256858e-09   4.191563684e-08
      1.237967059       44.38661778      0.1504256922       44.67348757   1.759352597e-08   1.871555335e-09   1.350843301e-08
      1.161055869       44.53256053      0.1472481302       44.50115184   1.538068897e-08   2.147161609e-09   1.583212699e-08
       1.06444958       44.02692819      0.1434507796       44.26775456   2.450353399e-08    2.59344337e-09   1.962900006e-08
     0.5912951451        42.7123764      0.1285527383       42.70037561   8.223362597e-08   9.844797075e-09   8.314760737e-08
      0.672080945       43.13233416       0.130608047       43.03874983   5.585555027e-08   7.323955295e-09   6.088356428e-08
     0.7171458728       43.46641797      0.1318487188        43.2110631   4.106131121e-08   6.308503587e-09   5.194870914e-08
      1.354666345       44.96875557      0.1554882403       44.91541746   1.029195247e-08   1.548125793e-09    1.08101823e-08
      1.683453715       45.82040781      0.1711013833        45.4975757   4.697176451e-09   9.965496073e-10   6.323677623e-09
      0.426806344        41.7466267      0.1250757064       41.85104677   2.001471082e-07   2.094256805e-08   1.817947306e-07
     0.7768394225       43.32418273      0.1335919987       43.42400407   4.680873523e-08   5.253569713e-09   4.269709934e-08
     0.6488415146       42.95641736      0.1299942934        42.9455411   6.567998692e-08   7.942981071e-09   6.634123618e-08
      1.043139846       44.35540889      0.1426437877       44.21343977   1.810658076e-08   2.711144311e-09   2.063593223e-08
     0.8037974715       43.63340948      0.1344155214       43.51505392   3.520758281e-08   4.860752796e-09   3.926254379e-08
      1.624007703       45.68069933       0.168146711       45.40145126   5.342201553e-09   1.069999447e-09   6.909068468e-09
      1.024173972       44.12437641      0.1419352157       44.16416666   2.240007318e-08   2.822923942e-09   2.159401183e-08
      1.233471547       44.80927343      0.1502363682       44.66371394   1.192039444e-08    1.88610202e-09   1.363058275e-08
     0.9023165279        43.5996252      0.1376089551       43.82435543   3.632034126e-08   3.742658539e-09   2.952961801e-08
      1.432923322       44.93060098       0.159033878       45.06611508     1.0660059e-08   1.378222381e-09   9.409227492e-09
       1.01706656       44.32444066      0.1416720528       44.14546887   1.863046673e-08   2.866634465e-09   2.196910938e-08
     0.8651031309       43.64122191      0.1363694789       43.71157025   3.495515541e-08   4.114951876e-09   3.276211267e-08
      1.493768972       45.30095537       0.161868334       45.17761242   7.579103729e-09   1.265880204e-09   8.490925518e-09
     0.3301808115       41.29981373      0.1235015668       41.19643412   3.020469863e-07   3.778979188e-08   3.322204429e-07
      0.881746151        43.9526231      0.1369189189       43.76258473    2.62392102e-08   3.941896804e-09   3.125835428e-08
     0.5674484127       42.72752415      0.1279887067       42.59212035    8.10943021e-08    1.08292702e-08   9.186537647e-08
     0.1047845211       38.46946386      0.1212620552       38.42361248   4.094628042e-06   4.770408966e-07   4.271250158e-06
      0.308278766       40.97132967      0.1231948994       41.02365884   4.087597577e-07   4.419822939e-08   3.895260119e-07
      1.060612495       44.03253369       0.143304631       44.25805455   2.437735182e-08   2.614051176e-09   1.980515203e-08
     0.3736750462       41.63777922       0.124165868       41.51036171    2.21252564e-07   2.845333817e-08   2.488028304e-07
     0.3255537692       40.94975836       0.123435217       41.16082985   4.169621736e-07   3.902858664e-08   3.432954595e-07
     0.3514952252       41.37434604      0.1238179642       41.35474107   2.820081009e-07   3.274635089e-08   2.871465297e-07
     0.4276830305       41.88917845      0.1250916143       41.85633236   1.755208115e-07    2.08435137e-08   1.809118668e-07
      1.012647516       44.28031667      0.1415090883       44.13377829   1.940319866e-08   2.894334345e-09   2.220693826e-08
     0.9370250845       43.91331201      0.1388002035       43.92552576   2.720665789e-08   3.439184548e-09   2.690231775e-08
     0.8750704041       43.57838525      0.1366975735       43.74223571   3.703786122e-08   4.009979938e-09     3.1849727e-08
     0.6679140339       42.94680441      0.1304966816       43.02226486   6.626408966e-08   7.429664516e-09   6.181502591e-08
     0.9454338591       44.09265525      0.1390938169       43.94948336   2.306417369e-08   3.371243811e-09   2.631519893e-08
      1.077213168       44.27271576      0.1439395546       44.29977255   1.953951115e-08   2.526660045e-09   1.905859925e-08
     0.4355876698       41.90532022      0.1252363486       41.90354234   1.729306247e-07    1.99797081e-08   1.732140285e-07
     0.4725376856       42.00599462      0.1259437565       42.11420528   1.576166714e-07   1.654894108e-08   1.426651466e-07
      0.667477576       42.98441863      0.1304850499       43.02053251   6.400774777e-08   7.440865133e-09   6.191373397e-08
      1.118766254        44.4126148      0.1455583884       44.40145789   1.717726761e-08    2.32664307e-09   1.735468938e-08
      1.427740639       45.23023134      0.1587955205        45.0563963   8.089235249e-09   1.388530443e-09   9.493830605e-09
      0.360560123        41.3528474      0.1239578616       41.41940599   2.876477877e-07    3.08878273e-08   2.705438118e-07
     0.6686169783       42.92843588      0.1305154284       43.02505267   6.739468509e-08    7.41167668e-09   6.165650919e-08
     0.4125126122       41.84757536      0.1248204174       41.76342249   1.823769103e-07   2.265647353e-08   1.970747583e-07
     0.2890792316       40.67376325      0.1229415658       40.86266152   5.376438742e-07   5.115755894e-08   4.517887301e-07
     0.8199797192       43.61114717      0.1349204439       43.56830201   3.593694296e-08   4.645501837e-09   3.738343418e-08
     0.3102518341       41.14237861      0.1232217556       41.03967815   3.491793519e-07   4.356039509e-08   3.838210048e-07
     0.3048689127       41.07311422       0.123148847       40.99575091   3.721810976e-07   4.533208198e-08   3.996682375e-07
      1.198009408       44.42046819       0.148758395        44.5853382   1.705346852e-08   2.007344377e-09   1.465091409e-08
      1.453589056       45.33093426      0.1599891738         45.104516   7.372695495e-09   1.338319717e-09   9.082253106e-09
      1.214230891        44.9575125      0.1494310337       44.62147472   1.039908193e-08    1.95041305e-09   1.417131375e-08
      1.526145394       45.21619411      0.1634029232       45.23506858   8.194498052e-09   1.212015211e-09   8.053275726e-09
     0.3527158873        41.3651269      0.1238366175       41.36353752   2.844128657e-07   3.248701084e-08   2.848295162e-07
     0.5636587585       42.70493954      0.1279009001       42.57452411   8.279882673e-08   1.099865644e-08   9.336634443e-08
      1.074154526       44.45369481      0.1438220584       44.29213427   1.653948855e-08   2.542421026e-09    1.91931515e-08
      1.619750634       45.65636344      0.1679371813       45.39442962   5.463294646e-09   1.075599748e-09   6.953895373e-09
     0.9485416201       43.99678912      0.1392028212       43.95828486   2.519325897e-08   3.346645987e-09   2.610273759e-08
      1.033811766       44.03009955      0.1422941412       44.18931732   2.443206528e-08   2.765258715e-09   2.109954406e-08
      0.740311863       43.13725864      0.1325119386        43.2956531   5.560278499e-08   5.865019351e-09   4.805501992e-08
     0.5016825446       42.28798862      0.1265371868        42.2698372   1.215638801e-07   1.440651635e-08   1.236132776e-07
      1.471616483       45.22706392      0.1608287709       45.13756336   8.112868412e-09   1.305010719e-09    8.80997459e-09
     0.9012732751       43.66788446      0.1375736704        43.8212559   3.410721159e-08   3.752395824e-09   2.961403871e-08
     0.3859564084       41.60882999      0.1243666378       41.59290869   2.272312223e-07    2.64129006e-08   2.305879049e-07
     0.5645382481       42.87856138      0.1279212331       42.57861766   7.056274203e-08   1.095900821e-08   9.301498815e-08
      1.426687653       44.90518479      0.1587471527       45.05441732   1.091254589e-08   1.390639935e-09   9.511150906e-09
     0.3305086863       41.26274934      0.1235063001       41.19893962   3.125361545e-07   3.770413155e-08   3.314546761e-07
     0.4537192051       42.15303647      0.1255771502       42.00890346   1.376529152e-07   1.818129943e-08   1.571949595e-07
      1.559918527       45.16666919      0.1650225118       45.29369182   8.576939044e-09   1.159690618e-09   7.629977734e-09
     0.4787579813       42.17798346      0.1260678039       42.14815662   1.345261197e-07   1.605525539e-08    1.38272989e-07
     0.2511606659       40.60406638      0.1224841209       40.51353846   5.732887853e-07   7.029753298e-08   6.231385433e-07
     0.4951409779       42.34030365      0.1264012956       42.23565216   1.158453321e-07   1.485136396e-08   1.275672331e-07
     0.1245485666       38.85907429      0.1213760072       38.82700879   2.860027985e-06    3.29310069e-07   2.945754048e-06
      1.148869987       44.37525496      0.1467569429       44.47280154   1.777861879e-08    2.19661387e-09   1.625097361e-08
      1.624145598       45.57525391      0.1681535027       45.40167839   5.887059626e-09   1.069818844e-09    6.90762329e-09
      1.435109983       44.99191239      0.1591345923       45.07020488   1.007476777e-08    1.37391013e-09   9.373851083e-09
     0.3229829303       41.05296989      0.1233987135       41.14084622   3.791508587e-07   3.974182667e-08   3.496725277e-07
     0.4743865574       42.04678111       0.125980479       42.12433988    1.51805517e-07   1.639996733e-08   1.413396618e-07
     0.4410555753       42.26326962      0.1253378337       41.93573731   1.243632756e-07    1.94116718e-08   1.681531764e-07
      1.309681477       44.60943183      0.1535037374       44.82474579   1.432937566e-08   1.661484586e-09   1.175172669e-08
        0.2288781       40.34267417      0.1222420738       40.28502399   7.293405007e-07   8.659379934e-08   7.691134493e-07
     0.3023756251       41.25176004      0.1231154629       40.97516254   3.157155576e-07    4.61873737e-08   4.073192972e-07
      1.634960948       45.39339276      0.1686871057       45.41943123   6.960539379e-09   1.055808308e-09   6.795595316e-09
      1.233374562       44.44128976      0.1502322886       44.66350269   1.672954375e-08   1.886417803e-09   1.363323507e-08
     0.3910857466       41.46551155      0.1244521962       41.62666983   2.592957386e-07   2.562183992e-08     2.2352807e-07
     0.9284297995       44.03528041      0.1385020848       43.90081789   2.431575926e-08   3.510789867e-09    2.75215472e-08
     0.5539922892       42.67743602      0.1276792127       42.52913257   8.492305206e-08   1.144834864e-08   9.735246908e-08
     0.7720816663       43.32868605      0.1334489699       43.40761916    4.66149882e-08   5.327742689e-09    4.33463303e-08
     0.3337245785       41.27084334      0.1235529475       41.22339399   3.102149065e-07   3.687832559e-08   3.240726675e-07
        1.1946136       44.44948792      0.1486183253       44.57771128   1.660369832e-08   2.019591491e-09   1.475419399e-08
      1.201619534       44.60499275      0.1489075871       44.59342274   1.438808181e-08   1.994451187e-09   1.454222652e-08
     0.1304369218       39.02325926      0.1214130614       38.93556615   2.458647668e-06   2.980675026e-07   2.665468405e-06
     0.4039235978       41.58861403      0.1246707241        41.7094105   2.315018087e-07   2.378351067e-08   2.071265631e-07
     0.3370903297       41.19214194      0.1236021999         41.248757   3.335363903e-07   3.604118639e-08   3.165900038e-07
      1.529860021       45.33791442      0.1635801283       45.24158095    7.32544868e-09   1.206073691e-09   8.005115816e-09
     0.4062181434       41.37694357      0.1247104412       41.72394279   2.813342262e-07   2.347477179e-08   2.043727004e-07
      0.416038739       41.83729133      0.1248826796        41.7852963   1.841125822e-07   2.221566761e-08    1.93144115e-07
     0.3914050207       41.60522724       0.124457555       41.62875776   2.279864857e-07   2.557371622e-08   2.230986267e-07
      1.206600434       44.50584014      0.1491139036        44.6045371   1.576390993e-08   1.976873953e-09   1.439412135e-08
     0.2602457526       40.67649022      0.1225885106       40.60139154   5.362952049e-07     6.4888664e-08   5.747028937e-07
