###################################################################
#	Summary of the parameters used to generate this mock sample:
#
#   data filename       = mock_DH/wfirst_LCDM_sigma_int_0.1.txt
#   sigma_mB_int_fac0   = 0.1
#   sigma_mB_int_fac1   = 0
#   sigma_mB_meas_fac   = 0
#   sigma_mB_lens_fac   = 0
#   sigma_mB_sys_fac    = 0
#	max redshift of sne = 1.69831
###################################################################
#   z   mu   dmu    mu^th    flux    dflux     flux^th
      1.329607834       44.84649597               0.1       44.86529193   1.151865078e-08   1.042698885e-09    1.13209593e-08
     0.5568542969       42.57883025               0.1       42.54264885   9.299677743e-08   8.855562244e-09   9.614804542e-08
     0.5666181534       42.48687543               0.1       42.58827473   1.012161532e-07   8.491135853e-09   9.219133615e-08
      0.576108551       42.65349729               0.1       42.63192054   8.681626198e-08   8.156568066e-09   8.855881255e-08
     0.6433383035       42.98660075               0.1       42.92300497   6.387923417e-08   6.238406831e-09   6.773264157e-08
     0.5191442072       42.36685278               0.1       42.35909317   1.130469597e-07   1.048668956e-08   1.138577852e-07
      1.216752077       44.72025128               0.1       44.62704762   1.293896353e-08   1.298543889e-09   1.409876113e-08
     0.9635809192       43.95104517               0.1        44.0004815   2.627737222e-08   2.312507138e-09   2.510772723e-08
     0.3724692322       41.46509611               0.1        41.5021228   2.593949731e-07    2.30901397e-08   2.506980064e-07
      1.651581905       45.34388398               0.1       45.44648022    7.28528266e-09   6.104970792e-10   6.628387818e-09
      1.423376155       45.03601168               0.1       45.04818399   9.673760437e-09   8.810531009e-10   9.565912499e-09
     0.3759622033       41.42460446               0.1       41.52592201   2.692515523e-07   2.258951346e-08   2.452625261e-07
      1.647274935       45.44073615               0.1       45.43949795   6.663548171e-09   6.144357842e-10   6.671151764e-09
     0.3626484153       41.31897854               0.1       41.43409072   2.967622019e-07   2.458325543e-08   2.669093045e-07
      0.303363386       41.06971256               0.1       40.98333758   3.733489852e-07   3.723408179e-08   4.042639065e-07
     0.9831263069       44.16016699               0.1       44.05436369   2.167370731e-08   2.200544741e-09   2.389211096e-08
     0.1614338371       39.41079681               0.1        39.4408606   1.720605381e-06   1.541457089e-07   1.673615769e-06
      1.670209084       45.42145208               0.1       45.47646414   6.782958604e-09   5.938681361e-10   6.447841362e-09
     0.7074514696       43.17034494               0.1       43.17488532   5.393392481e-08   4.946768104e-09   5.370885228e-08
     0.2310132265       40.26992519               0.1       40.30778738   7.798838425e-07   6.936824819e-08   7.531561852e-07
     0.3344864234       41.19711796               0.1       41.22915548   3.320112632e-07   2.969022482e-08   3.223575201e-07
     0.3956467569       41.56861921               0.1       41.65634901   2.358046224e-07   2.003254267e-08   2.175005686e-07
     0.2889211443       41.09016606               0.1       40.86129557   3.663815327e-07   4.166366337e-08   4.523574774e-07
     0.6695609432       43.04695642               0.1       43.02879196   6.042510744e-08   5.659250227e-09   6.144452863e-08
     0.5672244943       42.49388225               0.1       42.59108372   1.005650565e-07   8.469196169e-09   9.195312906e-08
     0.3538449856       41.34180938               0.1       41.37164923   2.905870459e-07   2.603850143e-08   2.827094372e-07
      1.164275951       44.38942316               0.1       44.50859364   1.754812568e-08   1.448232286e-09   1.572398225e-08
      1.227406524       44.54450425               0.1       44.65047118   1.521241979e-08   1.270829264e-09   1.379785342e-08
      1.503182947       45.21159499               0.1       45.19444875   8.229283125e-09   7.700096693e-10   8.360273759e-09
      1.145582628        44.5308693               0.1       44.46510207   1.540466581e-08   1.507422012e-09   1.636662655e-08
      1.421134056        45.1096034               0.1       45.04395525   9.039796218e-09   8.844913291e-10   9.603242588e-09
     0.5860156853       42.68704835               0.1       42.67676753   8.417452198e-08   7.826519465e-09   8.497535541e-08
     0.5191328685       42.42043401               0.1       42.35903613   1.076034999e-07   1.048724054e-08   1.138637674e-07
      1.017449761       44.26550917               0.1       44.14648027   1.966963649e-08   2.021545747e-09   2.194865407e-08
     0.4886175572       42.29284282               0.1       42.20114048   1.210215952e-07   1.212884615e-08   1.316872739e-07
     0.3158880411        40.9978889               0.1       41.08492824   3.988819999e-07   3.390817267e-08    3.68153307e-07
     0.3877811705        41.6027054               0.1       41.60496637   2.285166448e-07   2.100337725e-08    2.28041271e-07
     0.2820560045        40.8971111               0.1       40.80130498   4.376788512e-07     4.4030507e-08   4.780551556e-07
     0.5960873073       42.57438681               0.1       42.72163336   9.337815236e-08   7.509695614e-09   8.153548414e-08
      1.106345036       44.60940855               0.1         44.371461   1.432968295e-08   1.643203224e-09   1.784085232e-08
     0.1902621849       39.83432489               0.1       39.83542521   1.164850112e-06    1.07177987e-07   1.163670209e-06
      1.390271935       45.01999728               0.1       44.98504871   9.817504026e-09   9.338050043e-10   1.013865901e-08
       1.17614913       44.45590133               0.1       44.53585645   1.650590985e-08   1.412319973e-09   1.533406927e-08
      1.391778733       44.96284825               0.1       44.98795542   1.034810199e-08     9.3130838e-10   1.011155226e-08
     0.5569805804       42.55178753               0.1       42.54324374   9.534216045e-08   8.850711476e-09   9.609537888e-08
     0.9150983995       43.75011785               0.1       43.86204884   3.161934422e-08   2.626976244e-09   2.852203217e-08
      1.568407699       45.25970714               0.1       45.30822325   7.872581094e-09   6.934040605e-10    7.52853893e-09
     0.2820401287       40.70895169               0.1       40.80116471   5.204983095e-07   4.403619612e-08   4.781169245e-07
     0.2357815243       40.42208287               0.1       40.35793265   6.779019029e-07   6.623729996e-08   7.191623467e-07
       1.59623815       45.29651059               0.1       45.35530404   7.610194642e-09   6.639785702e-10   7.209055728e-09
      0.594465931       42.71755951               0.1       42.71445912   8.184199278e-08   7.559481941e-09   8.207603232e-08
      1.638358982       45.34330536               0.1       45.42498407   7.289166234e-09   6.227045682e-10   6.760928945e-09
      1.311280576       44.84370895               0.1       44.82802257   1.154825642e-08   1.079112327e-09   1.171631322e-08
      0.316464383       41.18843014               0.1       41.08951348   3.346786011e-07   3.376527463e-08   3.666018113e-07
     0.3288237978       41.14097984               0.1       41.18603991   3.496294945e-07   3.089297383e-08   3.354162016e-07
     0.8196023785       43.60875463               0.1       43.56707199    3.60162216e-08   3.447044459e-09   3.742580969e-08
     0.5116885134       42.32681989               0.1       42.32133107   1.172929864e-07   1.085783538e-08   1.178874497e-07
     0.4619175184       42.20364926               0.1       42.05526746   1.313833396e-07   1.387294595e-08   1.506235968e-07
     0.6231352946       42.88723577               0.1       42.83867545   7.000123316e-08   6.742260048e-09   7.320315837e-08
     0.8397787512       43.55998888               0.1       43.63208374   3.767076563e-08   3.246700182e-09   3.525059933e-08
     0.8016881395       43.64916136               0.1       43.50803686   3.470047792e-08   3.639661019e-09   3.951711741e-08
      1.266445236       44.76193842               0.1       44.73458419   1.245158487e-08   1.176093916e-09   1.276927745e-08
     0.3901531226       41.63651134               0.1       41.62056182   2.215110851e-07   2.070384244e-08   2.247891131e-07
      1.345988824       44.85246489               0.1       44.89816646   1.145549982e-08   1.011600644e-09   1.098331444e-08
     0.5325813009       42.47999292               0.1       42.42588882   1.018598031e-07    9.86098168e-09   1.070642482e-07
      1.536769803       45.21907885               0.1       45.25365212   8.172754637e-09   7.291465586e-10   7.916608173e-09
      1.104902175       44.37029493               0.1       44.36795481   1.786002364e-08   1.648518231e-09   1.789855928e-08
     0.3963943801       41.64644195               0.1       41.66118377   2.194942862e-07   1.994353642e-08   2.165341954e-07
       0.31489883        41.0513864               0.1       41.07704034   3.797042341e-07   3.415541318e-08   3.708376867e-07
      1.436419118       45.07234935               0.1       45.07265037    9.35535477e-09   8.614211514e-10   9.352761316e-09
     0.8291848944       43.41255711               0.1       43.59813969   4.314963801e-08   3.349807154e-09   3.637006906e-08
     0.8122671065       43.53391287               0.1        43.5430515   3.858645238e-08   3.524155622e-09    3.82630335e-08
     0.7320488656       43.33431574               0.1       43.26577575   4.637390872e-08   4.549517921e-09   4.939576321e-08
      1.563362916       45.39407672               0.1       45.29959752   6.956155956e-09   6.989348125e-10   7.588588307e-09
     0.5927672338       42.72671782               0.1       42.70692293    8.11545499e-08   7.612135453e-09   8.264771057e-08
     0.2634466655       40.58129272               0.1       40.63167383   5.854407003e-07   5.147616091e-08   5.588953159e-07
     0.7939420703       43.36928515               0.1       43.48211427   4.490409406e-08   3.727605729e-09   4.047196497e-08
      1.313358086       44.68877408               0.1       44.83227364     1.3319575e-08   1.074895444e-09     1.1670529e-08
      1.204878887       44.56013468               0.1       44.60070086   1.499498825e-08   1.330440131e-09   1.444507018e-08
     0.3677643105       41.52045404               0.1       41.46973901   2.465008289e-07   2.378921307e-08   2.582880991e-07
      1.506935784       45.19480533               0.1       45.20113051    8.35752852e-09   7.652854828e-10   8.308981557e-09
     0.8789282416       43.78132052               0.1       43.75401355   3.072357806e-08   2.901818593e-09   3.150609506e-08
     0.8835846264       43.60085544               0.1       43.76816239    3.62792102e-08   2.864248684e-09   3.109818495e-08
      1.393655883       44.77055674               0.1       44.99157211   1.235313827e-08   9.282112674e-10   1.007792579e-08
     0.5552513964       42.41170195               0.1       42.53508695   1.084723924e-07   8.917454442e-09   9.682003142e-08
     0.5487509305       42.58676908               0.1       42.50420881   9.231927138e-08   9.174706001e-09   9.961310473e-08
     0.3665043295       41.42989101               0.1       41.46100185   2.679437286e-07   2.398142237e-08   2.603749851e-07
      1.421852106       45.05514505               0.1       45.04531027   9.504778052e-09   8.833881519e-10   9.591264994e-09
      1.547813464       45.29256462               0.1       45.27283038   7.637903211e-09   7.163801249e-10    7.77799838e-09
     0.3845773535       41.50791233               0.1       41.58376125   2.493647536e-07   2.141761866e-08     2.3253884e-07
     0.5915245807       42.68021189               0.1       42.70139707    8.47062088e-08   7.650976249e-09   8.306941915e-08
     0.2045800683       40.21793994               0.1       40.01119689   8.181332115e-07   9.115844859e-08     9.8974028e-07
       1.67268567       45.43889837               0.1       45.48042479   6.674836824e-09   5.917057174e-10     6.4243632e-09
      1.005903301       44.22289142               0.1       44.11583897   2.045707007e-08   2.079409826e-09   2.257690533e-08
     0.3426755058       41.29967024               0.1       41.29033548   3.020869086e-07   2.806347765e-08   3.046953372e-07
      1.688560969        45.5605704               0.1       45.50567096   5.967217102e-09   5.781057588e-10   6.276703525e-09
     0.9886452129       44.21332951               0.1       44.06938718   2.063802795e-08   2.170305185e-09   2.356378914e-08
     0.2191751216       40.29885189               0.1       40.17904787   7.593801577e-07   7.810098851e-08   8.479707085e-07
     0.4190828718       41.72741158               0.1       41.80404278   2.037207972e-07   1.748471538e-08   1.898378851e-07
      1.620749336        45.2788192               0.1       45.39607858   7.735213791e-09   6.395054455e-10   6.943342153e-09
     0.6290768645       42.81999271               0.1       42.86374174   7.447369758e-08   6.588385204e-09   7.153248347e-08
     0.7900555951       43.49293095               0.1       43.46901585   4.007076358e-08   3.772848269e-09   4.096317961e-08
     0.9287778609       44.04984323               0.1       43.90182277   2.399179312e-08   2.532483205e-09   2.749608704e-08
     0.4175922894       41.69177993               0.1       41.79487921    2.10517415e-07   1.763291026e-08   1.914468907e-07
      1.497541685       45.07603004               0.1       45.18437265   9.323693376e-09   7.771889536e-10   8.438221848e-09
      0.336202487       41.20977978               0.1       41.24208925   3.281618489e-07   2.933864021e-08   3.185402387e-07
      1.009540085       43.94894358               0.1       44.12552736   2.632828489e-08   2.060937096e-09   2.237634021e-08
     0.8769229727       43.71811283               0.1       43.74789784   3.256528393e-08   2.918210016e-09   3.168406267e-08
      1.139897528        44.3700856               0.1       44.45173452   1.786346729e-08   1.526096062e-09   1.656937746e-08
      0.580918972       42.71623748               0.1       42.65378591    8.19417074e-08   7.993947948e-09   8.679318706e-08
     0.5884533632       42.62476472               0.1       42.68769284   8.914440978e-08   7.748159372e-09    8.41245715e-08
     0.1707339081       39.62574369               0.1       39.57483613   1.411570345e-06   1.362514798e-07   1.479331646e-06
      1.274338008       44.71336998               0.1       44.75127252   1.302122993e-08   1.158154961e-09   1.257450772e-08
